"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"551","RT @dguillenflores: ¡Histórico! Así fue el lanzamiento del #Quetzal1, el primer satélite guatemalteco, al módulo Kibo en la Estación Espaci…",FALSE,0,NA,2020-03-08 06:16:24,FALSE,NA,"1236536226813009920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","luiscarlosxela",574,TRUE,FALSE,NA,NA
"552","RT @Fredy_Espaa: Por cierto, sobre la bonita resonancia que ha tenido el proyecto #Quetzal1 todas las dudas que tengan no duden en pregunta…",FALSE,0,NA,2020-03-08 06:12:57,FALSE,NA,"1236535357656760320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jochogamboa",21,TRUE,FALSE,NA,NA
"553","RT @dguillenflores: ¡Histórico! Así fue el lanzamiento del #Quetzal1, el primer satélite guatemalteco, al módulo Kibo en la Estación Espaci…",FALSE,0,NA,2020-03-08 06:12:03,FALSE,NA,"1236535129536958465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarioBa81468345",574,TRUE,FALSE,NA,NA
"554","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 06:11:09,FALSE,NA,"1236534903329742848",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Michael62205047",164,TRUE,FALSE,NA,NA
"555","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 06:11:01,FALSE,NA,"1236534868995182593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","miwateco",164,TRUE,FALSE,NA,NA
"556","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 06:10:35,FALSE,NA,"1236534760576618496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","joralbherlo",164,TRUE,FALSE,NA,NA
"557","RT @McGuate: En McDonald’s Guatemala estamos orgullosos de los chapines que hicieron posible que el #Quetzal1 estuviera en órbita.

Si tú c…",FALSE,0,NA,2020-03-08 06:10:23,FALSE,NA,"1236534712442773509",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Marianao_24",59,TRUE,FALSE,NA,NA
"558","RT @dguillenflores: ¡Histórico! Así fue el lanzamiento del #Quetzal1, el primer satélite guatemalteco, al módulo Kibo en la Estación Espaci…",FALSE,0,NA,2020-03-08 06:08:45,FALSE,NA,"1236534300339851266",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Orin01678826",574,TRUE,FALSE,NA,NA
"559","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 06:08:18,FALSE,NA,"1236534187945009152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jorgeusac1",164,TRUE,FALSE,NA,NA
"560","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 06:07:46,FALSE,NA,"1236534052322189313",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chatis_",164,TRUE,FALSE,NA,NA
"561","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 06:06:57,FALSE,NA,"1236533847413665792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chompileal",164,TRUE,FALSE,NA,NA
"562","RT @carlitrosgt: UVG lanzando #Quetzal1 / USAC pidiendo 1 Quetzal https://t.co/rp3v4CBVRf",FALSE,0,NA,2020-03-08 06:05:49,FALSE,NA,"1236533560959553537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LaMezaDel_Che",50,TRUE,FALSE,NA,NA
"563","RT @china_bernal: Pero esto no lo transmitieron en vivo por canales nacionales ni fue noticia 1 o 2 meses antes. Como no eran 2 alcaldes co…",FALSE,0,NA,2020-03-08 06:05:08,FALSE,NA,"1236533391895511041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","assilemIn",74,TRUE,FALSE,NA,NA
"564","RT @DrGiammattei: Felicito a los estudiantes de la @uvggt por poner en alto el nombre de Guatemala llevando el primer satélite guatemalteco…",FALSE,0,NA,2020-03-08 06:04:57,FALSE,NA,"1236533343556177920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_szth",307,TRUE,FALSE,NA,NA
"565","RT @carlitrosgt: UVG lanzando #Quetzal1 / USAC pidiendo 1 Quetzal https://t.co/rp3v4CBVRf",FALSE,0,NA,2020-03-08 06:04:36,FALSE,NA,"1236533254104190976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","culitobravo",50,TRUE,FALSE,NA,NA
"566","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 06:02:51,FALSE,NA,"1236532816726409217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","____teima",164,TRUE,FALSE,NA,NA
"567","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 06:01:18,FALSE,NA,"1236532427222368257",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HHwolley",164,TRUE,FALSE,NA,NA
"568","@aedilzare Que critica tan fuerte, todo el país está decepcionado del #Quetzal1 tan solo por tu tweet de menospreci… https://t.co/kithwUxxnX",FALSE,1,"aedilzare",2020-03-08 06:00:42,TRUE,"1236337277447659521","1236532273803153408","2553542672","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","leonel10gc",0,FALSE,FALSE,NA,NA
"569","RT @PalmieriXime: No se de quién es la foto... pero me puso la piel chinita!!! Felicitaciones a los alumnos de la UVG y a todos los que par…",FALSE,0,NA,2020-03-08 06:00:28,FALSE,NA,"1236532213598076928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ContrerasE_",26,TRUE,FALSE,NA,NA
"570","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 06:00:01,FALSE,NA,"1236532102914625536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CadenitaGT",164,TRUE,FALSE,NA,NA
"571","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 05:59:20,FALSE,NA,"1236531928947462145",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EdgarGonzalezGT",164,TRUE,FALSE,NA,NA
"572","RT @quetzal1_uvg: Hoy, al atardecer. La espera se acorta, en 3 horas el Quetzal remonta. #GuateVaAlEspacio #Quetzal1 #Guatemala https://t.c…",FALSE,0,NA,2020-03-08 05:56:57,FALSE,NA,"1236531332001476608",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Mawol12",80,TRUE,FALSE,NA,NA
"573","RT @McGuate: En McDonald’s Guatemala estamos orgullosos de los chapines que hicieron posible que el #Quetzal1 estuviera en órbita.

Si tú c…",FALSE,0,NA,2020-03-08 05:55:54,FALSE,NA,"1236531066233634816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stu_aguz",59,TRUE,FALSE,NA,NA
"574","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 05:54:54,FALSE,NA,"1236530813375860736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PutoFiel",164,TRUE,FALSE,NA,NA
"575","RT @rulobono: El vuelo de un Quetzal ❤🇬🇹 #Quetzal1 https://t.co/RxtSFAexUF",FALSE,0,NA,2020-03-08 05:52:27,FALSE,NA,"1236530199417761795",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrInsomniac5",43,TRUE,FALSE,NA,NA
"576","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 05:48:13,FALSE,NA,"1236529133754122242",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_AldoLanuza",164,TRUE,FALSE,NA,NA
